"Year","Country","CountryName","Population","AverageTemperature","MinTemperature","MaxTemperature","GDP","Emissions","TotalDeaths","TotalAffected","TotalDamage"
1969,"DEU","Germany",77909682,7.913,7.69608333333333,8.12991666666667,NA,1052.0008,NA,NA,NA
1969,"ESP","Spain",33441054,13.2113333333333,12.9871666666667,13.4355,36038711600,96.7369,NA,NA,NA
1969,"FRA","France",51638260,12.8335,12.5874166666667,13.0795833333333,1.41e+11,413.7595,23,0,0
1969,"GBR","United Kingdom",55441750,8.46791666666667,8.2225,8.71333333333333,1.13e+11,628.3825,NA,NA,NA
1969,"IDN","Indonesia",111800091,26.1130833333333,25.8824166666667,26.34375,8337423313,33.3622,0,250097,0
1969,"IND","India",541505076,24.5011666666667,24.2305,24.7718333333333,57668330026,190.4004,815,280092,8330
1969,"ITA","Italy",53537950,12.6295833333333,12.4058333333333,12.8533333333333,97085082807,269.661,NA,NA,NA
1969,"JPN","Japan",103172000,11.849,11.6640833333333,12.0339166666667,1.72e+11,653.2154,100,0,0
1969,"MEX","Mexico",50423481,20.9588333333333,20.755,21.1626666666667,3.248e+10,102.1762,76,0,0
1969,"NGA","Nigeria",54716735,27.2146666666667,26.96325,27.4660833333333,6634187316,12.0999,2000,80000,0
1969,"PAK","Pakistan",56542434,21.0341666666667,20.783,21.2853333333333,8632927257,20.2134,NA,NA,NA
1969,"RUS","Russian Federation",129664000,-6.76608333333333,-6.964,-6.56816666666667,NA,1378.1502,NA,NA,NA
1970,"AUS","Australia",12507000,21.77575,21.5914166666667,21.9600833333333,41261059469,147.4798,13,0,72475
1970,"BGD","Bangladesh",65047770,25.1865833333333,24.9345,25.4386666666667,8992721809,3.8032,0,13648110,111400
1970,"BRA","Brazil",95326793,25.1910833333333,24.9306666666667,25.4515,42327600098,93.5305,0,0,0
1970,"CAN","Canada",21324000,-5.10316666666667,-5.34666666666667,-4.85966666666667,87896095224,341.1772,119,0,0
1970,"CHN","China",818315000,6.56816666666667,6.37733333333333,6.759,92602973434,770.1672,10407,0,0
1970,"DEU","Germany",78169289,7.85608333333333,7.64083333333333,8.07133333333333,2.15e+11,1026.0223,NA,NA,NA
1970,"ESP","Spain",33814531,13.72,13.5001666666667,13.9398333333333,40881655099,116.7665,52,0,0
1970,"FRA","France",52035095,12.89925,12.65025,13.14825,1.48e+11,439.6251,258,0,0
1970,"GBR","United Kingdom",55663250,8.66975,8.41691666666667,8.92258333333333,1.31e+11,652.5774,NA,NA,NA
1970,"IDN","Indonesia",114834780,26.0601666666667,25.8518333333333,26.2685,9150684932,35.7914,132,0,0
1970,"IND","India",553578513,24.0740833333333,23.8378333333333,24.3103333333333,61589800520,194.729,0,0,0
1970,"ITA","Italy",53821850,12.8405833333333,12.6258333333333,13.0553333333333,1.13e+11,296.3645,72,1301850,271500
1970,"JPN","Japan",104345000,11.929,11.7366666666667,12.1213333333333,2.13e+11,767.9631,73,425,0
1970,"MEX","Mexico",52029861,20.4900833333333,20.2668333333333,20.7133333333333,3.552e+10,113.9507,35,0,0
1970,"NGA","Nigeria",55981400,26.9465,26.6799166666667,27.2130833333333,12545849083,21.52,NA,NA,NA
1970,"PAK","Pakistan",58090759,21.1893333333333,20.9108333333333,21.4678333333333,10027088849,20.5044,0,1105,60
1970,"RUS","Russian Federation",130404000,-5.52258333333333,-5.72208333333333,-5.32308333333333,NA,1449.5706,NA,NA,NA
1971,"AUS","Australia",12937000,21.6543333333333,21.4763333333333,21.8323333333333,45138313361,152.6295,30,0,139219
1971,"BGD","Bangladesh",66424744,24.6351666666667,24.3236666666667,24.9466666666667,8751842840,3.6061,163,0,0
1971,"BRA","Brazil",97728961,24.6085,24.3284166666667,24.8885833333333,49204456700,102.3579,239,13000,5200
1971,"CAN","Canada",21645535,-4.86958333333333,-5.09908333333333,-4.64008333333333,99271961478,352.2851,0,0,0
1971,"CHN","China",841105000,6.84625,6.67033333333333,7.02216666666667,99800958648,874.0164,NA,NA,NA
1971,"DEU","Germany",78312842,8.60016666666667,8.38291666666667,8.81741666666667,2.49e+11,1037.2361,NA,NA,NA
1971,"ESP","Spain",34224490,13.0915833333333,12.8755,13.3076666666667,46492797365,128.4585,0,0,155000
1971,"FRA","France",52480421,12.8691666666667,12.6175833333333,13.12075,1.66e+11,463.1427,NA,NA,NA
1971,"GBR","United Kingdom",55896223,9.0505,8.80083333333333,9.30016666666667,1.48e+11,660.3883,95,0,0
1971,"IDN","Indonesia",117921998,25.7929166666667,25.5866666666667,25.9991666666667,9333536360,38.9554,NA,NA,NA
1971,"IND","India",566224812,23.634,23.4179166666667,23.8500833333333,66452561866,205.3295,11041,7065000,560000
1971,"ITA","Italy",54073490,12.7889166666667,12.565,13.0128333333333,1.24e+11,311.0492,22,4220,41600
1971,"JPN","Japan",105697000,11.9834166666667,11.8103333333333,12.1565,2.4e+11,796.5444,297,0,0
1971,"MEX","Mexico",53718724,20.6403333333333,20.41925,20.8614166666667,3.92e+10,126.2114,17,0,0
1971,"NGA","Nigeria",57295210,26.7961666666667,26.5213333333333,27.071,9181769912,32.2515,NA,NA,NA
1971,"PAK","Pakistan",59687140,20.96625,20.67325,21.25925,10602058190,19.4406,NA,NA,NA
1971,"RUS","Russian Federation",131155000,-4.97116666666667,-5.188,-4.75433333333333,NA,1538.2421,NA,NA,NA
1972,"AUS","Australia",13177000,22.0120833333333,21.8163333333333,22.2078333333333,51954439252,157.3355,NA,NA,NA
1972,"BGD","Bangladesh",67597470,25.1438333333333,24.872,25.4156666666667,6288245867,3.5064,250,0,0
1972,"BRA","Brazil",100143598,25.0973333333333,24.85525,25.3394166666667,58539008786,114.0143,39,51,0
1972,"CAN","Canada",21993631,-6.80291666666667,-7.05483333333333,-6.551,1.13e+11,380.7866,67,0,0
1972,"CHN","China",862030000,6.81441666666667,6.64041666666667,6.98841666666667,1.14e+11,928.894,NA,NA,NA
1972,"DEU","Germany",78688452,8.05483333333333,7.83675,8.27291666666667,2.99e+11,1041.4795,NA,NA,NA
1972,"ESP","Spain",34604469,12.8106666666667,12.5928333333333,13.0285,58971806627,144.7162,0,0,0
1972,"FRA","France",52959228,12.5944166666667,12.3209166666667,12.8679166666667,2.03e+11,481.6113,168,111,0
1972,"GBR","United Kingdom",56086065,8.4925,8.22433333333333,8.76066666666667,1.7e+11,648.0264,0,0,0
1972,"IDN","Indonesia",121059513,26.0619166666667,25.8325,26.2913333333333,10997590361,43.3065,0,0,0
1972,"IND","India",579411513,24.2721666666667,23.9954166666667,24.5489166666667,70509913049,217.1819,0,0,0
1972,"ITA","Italy",54381345,12.7168333333333,12.4915,12.9421666666667,1.45e+11,328.2375,1,450,0
1972,"JPN","Japan",107188000,12.5921666666667,12.3909166666667,12.7934166666667,3.18e+11,852.1705,703,0,0
1972,"MEX","Mexico",55478151,20.975,20.75125,21.19875,4.52e+10,132.3287,249,101870,0
1972,"NGA","Nigeria",58662603,26.88575,26.6119166666667,27.1595833333333,12274416018,41.3876,21,100,0
1972,"PAK","Pakistan",61338261,20.1001666666667,19.8195,20.3808333333333,9309109764,18.903,NA,NA,NA
1972,"RUS","Russian Federation",131909000,-5.702,-5.93958333333333,-5.46441666666667,NA,1618.4149,NA,NA,NA
1973,"AUS","Australia",13380000,22.41275,22.2073333333333,22.6181666666667,63721973094,170.8274,12,12000,71000
1973,"BGD","Bangladesh",68691185,25.2655833333333,24.9759166666667,25.55525,8086725729,4.5506,2327,0,0
1973,"BRA","Brazil",102584278,25.1695833333333,24.9420833333333,25.3970833333333,79279057731,132.0196,20,0,16000
1973,"CAN","Canada",22369408,-4.1795,-4.42041666666667,-3.93858333333333,1.31e+11,381.2647,NA,NA,NA
1973,"CHN","China",881940000,7.20958333333333,7.01841666666667,7.40075,1.39e+11,965.6466,NA,NA,NA
1973,"DEU","Germany",78936666,8.40283333333333,8.18983333333333,8.61583333333333,3.97e+11,1085.7363,NA,NA,NA
1973,"ESP","Spain",34988947,13.4201666666667,13.1901666666667,13.6501666666667,78425934894,154.9573,519,0,0
1973,"FRA","France",53441264,12.8871666666667,12.6354166666667,13.1389166666667,2.64e+11,517.5783,254,0,0
1973,"GBR","United Kingdom",56194527,8.7935,8.54016666666667,9.04683333333333,1.93e+11,659.5773,58,164,0
1973,"IDN","Indonesia",124242298,26.2218333333333,25.9776666666667,26.466,16273253012,49.0986,1702,0,0
1973,"IND","India",593058926,24.3865833333333,24.1575,24.6156666666667,84374541630,223.6023,309,0,0
1973,"ITA","Italy",54751406,12.7985,12.5775833333333,13.0194166666667,1.75e+11,353.3492,38,5000,480000
1973,"JPN","Japan",108079000,12.41475,12.2080833333333,12.6214166666667,4.32e+11,914.2657,128,0,0
1973,"MEX","Mexico",57280587,20.4961666666667,20.2568333333333,20.7355,5.528e+10,144.1564,647,0,0
1973,"NGA","Nigeria",60110433,27.472,27.1605833333333,27.7834166666667,15162871287,49.5323,176,0,0
1973,"PAK","Pakistan",63059481,20.7395833333333,20.4121666666667,21.067,6324884129,20.0085,474,4800000,661500
1973,"RUS","Russian Federation",132669000,-4.83358333333333,-5.05183333333333,-4.61533333333333,NA,1686.7543,NA,NA,NA
1974,"AUS","Australia",13723000,21.2380833333333,21.0255833333333,21.4505833333333,88809137804,172.1894,0,0,0
1974,"BGD","Bangladesh",69884420,25.0395,24.729,25.35,12512460520,4.6566,0,0,0
1974,"BRA","Brazil",105069367,24.5815,24.37325,24.78975,1.05e+11,142.9273,2015,0,0
1974,"CAN","Canada",22774087,-5.64108333333333,-5.87383333333333,-5.40833333333333,1.6e+11,389.6052,0,0,0
1974,"CHN","China",900350000,6.65941666666667,6.45758333333333,6.86125,1.44e+11,985.0852,20000,0,0
1974,"DEU","Germany",78967433,8.97041666666667,8.77891666666667,9.16191666666667,4.44e+11,1062.7243,NA,NA,NA
1974,"ESP","Spain",35373335,13.3241666666667,13.09025,13.5580833333333,97009800115,172.6656,4,129,0
