Year,Country,Population,AverageTemperature,Country.Name,GDP,Emissions,TotalDeaths,TotalAffected,TotalDamage,MeanTemperature,anamoly
1972,FRA,52959228,12.5944166666667,France,203000000000,9.07734214,168,111,0,13.3241273584906,0.729710691823872
1972,GBR,56086065,8.4925,United Kingdom,170000000000,11.56235418,149,0,0,8.96133173076923,0.468831730769232
1972,IDN,121059513,26.0619166666667,Indonesia,10997590361,0.358007991,72,3500000,70000,26.1597699275362,0.097853260869528
1972,IND,579411513,24.2721666666667,India,70509913049,0.375983444,330,204530075,100000,24.3524496855346,0.080283018867892
1972,ITA,54381345,12.7168333333333,Italy,145000000000,6.049321454,1,450,0,13.2578726415094,0.541039308176128
1972,JPN,107188000,12.5921666666667,Japan,318000000000,7.961462468,703,0,0,12.4686210691824,-0.123545597484307
1972,KOR,33505406,12.1338333333333,"Korea, Rep.",10842220469,1.800808443,797,1128339,73434,12.4023286163522,0.2684952830189
1972,MEX,55478151,20.975,Mexico,45200000000,2.387595326,249,101870,0,20.9283667695473,-0.046633230452681
1972,NGA,58662603,26.88575,Nigeria,12274416018,0.706175602,21,100,0,27.0908977987421,0.205147798742143
1972,PAK,61338261,20.1001666666667,Pakistan,9309109764,0.308601087,0,0,0,21.0765581761006,0.976391509433927
1972,USA,209896000,8.42808333333333,United States,1280000000000,21.74864198,1315,3841,2220000,9.175704218107,0.747620884773665
1973,AUS,13380000,22.41275,Australia,63721973094,12.77968685,12,12000,71000,22.0145471698113,-0.39820283018868
1973,BGD,68691185,25.2655833333333,Bangladesh,8086725729,0.066302743,2327,50000,0,25.3278983739837,0.062315040650439
1973,BRA,102584278,25.1695833333333,Brazil,79279057731,1.291260645,20,0,16000,25.2288349056604,0.059251572327078
1973,CAN,22369408,-4.1795,Canada,131000000000,17.05995183,0,0,0,-4.37132716049383,-0.191827160493827
1973,CHN,881940000,7.20958333333333,China,139000000000,1.098195691,0,0,0,7.13916981132075,-0.070413522012576
1973,ESP,34988947,13.4201666666667,Spain,78425934894,4.440462955,519,0,400000,14.113213836478,0.69304716981129
1973,FRA,53441264,12.8871666666667,France,264000000000,9.666680526,254,6,0,13.3241273584906,0.436960691823872
1973,GBR,56194527,8.7935,United Kingdom,193000000000,11.74552694,58,164,0,8.96133173076923,0.167831730769231
1973,IDN,124242298,26.2218333333333,Indonesia,16273253012,0.395470253,1702,34,0,26.1597699275362,-0.062063405797073
1973,IND,593058926,24.3865833333333,India,84374541630,0.378281792,309,0,0,24.3524496855346,-0.034133647798708
1973,ITA,54751406,12.7985,Italy,175000000000,6.471435784,38,5000,480000,13.2578726415094,0.459372641509427
1973,JPN,108079000,12.41475,Japan,432000000000,8.472958752,128,0,0,12.4686210691824,0.053871069182392
1973,KOR,34103149,12.4324166666667,"Korea, Rep.",13841885921,2.143330254,0,0,0,12.4023286163522,-0.0300880503145
1973,MEX,57280587,20.4961666666667,Mexico,55280000000,2.5190521,647,150027,100000,20.9283667695473,0.432200102880621
1973,NGA,60110433,27.472,Nigeria,15162871287,0.824779286,176,0,0,27.0908977987421,-0.381102201257857
1973,PAK,63059481,20.7395833333333,Pakistan,6324884129,0.317739501,474,4800000,661500,21.0765581761006,0.336974842767326
1973,USA,211909000,8.93466666666667,United States,1430000000000,22.51058213,214,601,550000,9.175704218107,0.241037551440325
1974,AUS,13723000,21.2380833333333,Australia,88809137804,12.55966873,90,45640,1102689,22.0145471698113,0.776463836478019
1974,BGD,69884420,25.0395,Bangladesh,12512460520,0.066692361,31500,38000000,579200,25.3278983739837,0.288398373983739
1974,BRA,105069367,24.5815,Brazil,105000000000,1.365352349,2015,355000,121000,25.2288349056604,0.647334905660379
1974,CAN,22774087,-5.64108333333333,Canada,160000000000,17.12344306,32,0,89500,-4.37132716049383,1.2697561728395
1974,CHN,900350000,6.65941666666667,China,144000000000,1.097367111,20000,0,0,7.13916981132075,0.479753144654085
1974,ESP,35373335,13.3241666666667,Spain,97009800115,4.89498864,4,129,0,14.113213836478,0.78904716981129
1974,FRA,53882416,13.0404166666667,France,286000000000,9.262230669,346,0,0,13.3241273584906,0.283710691823872
1974,GBR,56229974,8.76016666666667,United Kingdom,206000000000,10.98359286,29,3100,0,8.96133173076923,0.201165064102561
1974,IDN,127465231,25.8970833333333,Indonesia,25802409639,0.402156671,10,2000,0,26.1597699275362,0.262686594202929
1974,IND,607050255,24.17575,India,98198276857,0.382164002,280,25100,0,24.3524496855346,0.17669968553459
1974,ITA,55110868,12.8075833333333,Italy,199000000000,6.521514722,0,0,0,13.2578726415094,0.450289308176128
1974,JPN,110162000,11.7905,Japan,480000000000,8.313879441,364,644,400000,12.4686210691824,0.678121069182392
1974,KOR,34692266,11.3883333333333,"Korea, Rep.",19482038223,2.181664351,88,0,0,12.4023286163522,1.0139952830189
1974,MEX,59088193,20.6315,Mexico,72000000000,2.623328776,13,0,0,20.9283667695473,0.296866769547321
1974,NGA,61673559,26.5926666666667,Nigeria,24846641318,1.010016772,0,0,0,27.0908977987421,0.498231132075443
1974,PAK,64870833,20.4351666666667,Pakistan,8773030424,0.330178387,4740,50200,3255,21.0765581761006,0.641391509433927
1974,USA,213854000,8.81591666666667,United States,1550000000000,21.50293038,386,499,1000000,9.175704218107,0.359787551440325
1975,AUS,13893000,21.6926666666667,Australia,97147343985,12.65989981,13,36,118545,22.0145471698113,0.321880503144619
1975,BGD,71305923,25.1439166666667,Bangladesh,19448348073,0.06829413,0,0,0,25.3278983739837,0.183981707317038
1975,BRA,107612100,24.67675,Brazil,124000000000,1.40471881,244,828707,854900,25.2288349056604,0.552084905660379
1975,CAN,23209000,-4.94566666666667,Canada,174000000000,17.11161334,43,340,2500,-4.37132716049383,0.574339506172843
1975,CHN,916395000,7.10091666666667,China,163000000000,1.250124095,30500,11000000,0,7.13916981132075,0.038253144654084
1975,ESP,35757900,13.37425,Spain,114000000000,5.079852145,28,0,0,14.113213836478,0.738963836477991
1975,FRA,54252574,12.9625,France,361000000000,8.237752775,0,0,0,13.3241273584906,0.361627358490571
1975,GBR,56225800,9.07791666666667,United Kingdom,242000000000,10.73605364,76,83,0,8.96133173076923,-0.116584935897439
